ax;ay;az;d_row;d_pitch;d_yaw
1.15717;0.19703;9.87773;-510.38751;-677.55627;-83.86875
1.09434;0.11102;10.04731;-128.40625;503.56250;45.63125
1.11691;0.11895;10.03877;-127.83750;567.04376;66.15000
1.13094;0.09943;10.02962;-106.44375;513.58124;63.56875
1.02907;0.09272;10.09062;-53.28750;360.80624;38.41250
1.01931;0.12627;10.11258;-6.43125;218.96875;9.84375
1.02602;0.10980;10.08818;-7.04375;219.27499;9.75625
0.95099;0.09333;10.09977;-7.52500;220.23750;9.40625
0.90158;0.08906;10.15467;-7.21875;220.54375;9.97500
0.88267;0.10431;10.16870;-7.48125;222.55624;9.88750
0.81984;0.10614;10.10526;-7.21875;224.48125;10.45625
0.78141;0.12017;10.09367;-6.91250;226.14375;9.36250
0.79666;0.14701;10.07476;-7.26250;228.33125;9.84375
0.70455;0.07381;10.09245;-7.39375;229.60001;10.15000
0.69052;0.11163;10.14125;-8.18125;230.95625;9.36250
0.65758;0.11346;10.14796;-7.17500;231.87500;9.88750
0.62464;0.11346;10.17419;-7.39375;232.96875;9.58125
0.58987;0.07930;10.15772;-7.70000;233.58125;10.10625
0.53741;0.07564;10.17785;-8.22500;234.93750;10.28125
0.48556;0.07625;10.16809;-7.70000;234.98125;9.45000
0.45750;0.06649;10.13759;-7.74375;234.50000;10.32500
0.42334;0.05978;10.18273;-8.13750;233.75626;9.49375
0.39345;0.10431;10.17114;-7.61250;234.19376;10.45625
0.31842;0.05551;10.19859;-7.83125;233.71249;10.58750
0.32086;0.06649;10.15345;-7.61250;232.48750;9.31875
0.29890;0.07747;10.16626;-8.53125;232.70625;10.58750
0.19459;0.03965;10.13149;-7.96250;231.78751;10.15000
0.22204;0.13237;10.17663;-6.82500;232.22501;8.53125
0.15677;0.03294;10.12722;-7.74375;232.53125;10.71875
0.10919;0.09211;10.12661;-8.22500;233.14375;9.36250
0.12871;0.12566;10.13149;-6.95625;234.23750;10.10625
0.06893;0.07808;10.10770;-8.26875;236.11874;10.15000
-0.00549;0.05917;10.16809;-8.18125;236.86250;9.14375
-0.02806;0.08174;10.14430;-8.09375;237.60625;10.01875
-0.09577;0.06405;10.16260;-7.30625;238.26250;9.71250
-0.08967;0.07747;10.11014;-8.05000;238.43750;9.01250
-0.12688;0.06527;10.13393;-7.43750;238.70000;10.01875
-0.15921;0.10187;10.16931;-8.05000;238.04375;9.05625
-0.23607;0.05307;10.19737;-8.05000;238.70000;10.58750
-0.24888;0.06283;10.17236;-8.22500;238.00000;9.49375
-0.29280;0.08296;10.16748;-7.61250;237.16875;9.53750
-0.32330;0.05185;10.16748;-7.70000;235.94376;10.63125
-0.38308;0.04148;10.16443;-8.22500;234.71875;9.14375
-0.45079;0.03599;10.17114;-7.83125;234.32500;11.28750
-0.43676;0.10919;10.16809;-6.95625;233.27499;9.23125
-0.51179;0.04514;10.17419;-7.39375;233.05624;11.02500
-0.53680;0.04392;10.16504;-7.87500;232.22501;9.75625
-0.58438;0.06710;10.15040;-7.74375;231.78751;8.92500
-0.59292;0.08723;10.14613;-7.70000;231.87500;9.80000
-0.67649;0.01830;10.16992;-8.26875;232.96875;10.76250
-0.70150;0.01769;10.14735;-8.57500;233.66875;9.97500
-0.73322;0.03050;10.10648;-8.44375;233.53751;10.10625
-0.76433;0.01281;10.07842;-7.83125;232.79375;10.23750
-0.79361;0.05002;10.19371;-8.22500;232.83749;9.66875
-0.86925;0.02257;10.13515;-8.35625;233.75626;9.84375
-0.87596;0.05917;10.11502;-8.53125;233.23125;9.27500
-0.93574;0.00244;10.13454;-8.13750;232.26875;10.71875
-0.96136;0.02074;10.10892;-7.87500;231.83125;9.53750
-0.96136;0.05795;10.14003;-7.78750;230.25626;9.05625
-1.02785;0.02684;10.12539;-7.78750;230.12500;10.58750
-1.05835;0.01708;10.11502;-6.95625;227.36874;9.36250
-1.07116;0.05124;10.07537;-7.00000;226.49374;8.92500
-1.10593;0.06649;10.08513;-7.70000;224.30624;11.02500
-1.16022;0.04209;10.12844;-8.31250;222.55624;10.10625
-1.19743;0.02440;10.10770;-7.91875;220.89375;9.45000
-1.25538;0.01647;10.10282;-7.78750;219.71249;10.80625
-1.28527;0.01037;10.06256;-7.35000;218.22501;9.71250
-1.28466;0.06771;10.11197;-6.86875;216.78125;9.45000
-1.34871;0.03111;10.07476;-7.26250;215.86250;10.28125
-1.35359;0.05429;10.06378;-6.56250;215.29375;8.79375
-1.39507;0.05673;10.05036;-7.48125;215.81876;10.28125
-1.45790;0.01403;10.06439;-7.39375;215.55624;11.06875
-1.48718;0.01952;10.08452;-7.61250;214.94376;9.53750
-1.49023;0.03233;10.11075;-6.86875;214.06876;10.54375
-1.55123;0.02806;10.03755;-6.82500;213.76250;9.75625
-1.57441;0.02989;10.01071;-7.04375;212.75626;10.01875
-1.64334;0.01403;10.06988;-6.91250;211.18124;9.84375
-1.62870;0.06832;10.09184;-7.35000;209.91251;9.97500
-1.69458;-0.02440;10.07537;-7.26250;208.77499;10.50000
